"Name","Phone","Email","Website","Address","Instagram","Facebook","Twitter","Linkedin","Yelp","Youtube","PlaceID","CID","Category","ReviewCount","AverageRating","Latitude","Longitude"
"Rodrigo Campanholo Odontologia Estética e Implantes","(47) 99663-6903","","https://www.instagram.com/rodrigo.campanholo/","R. Alm. Tamandaré, 192 - Centro,Itajaí - SC,88301-430","https://www.instagram.com/rsrc.php,https://www.instagram.com/rodrigo.campanholo,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJp8DLYyfN2JQRCXHO9Ov7FMk","-3957261181708766967","Clínica odontológica;Dentista cosmético;Dentista;Cirurgião dentista","71","4.9","-26.9089222","-48.6562148"
"Odonto Vergueiro - Dentista 24 horas em Itajaí","(47) 99217-0754","","https://www.instagram.com/odontovergueiro","R. Heitor Liberato, 2150 - centro,Itajaí - SC,88304-101","https://www.instagram.com/rsrc.php,https://www.instagram.com/odontovergueiro,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJgXcGGGvN2JQRRuagBiWGQ4g","","Clínica odontológica","40","5","-26.908961599999998","-48.6800527"
"Dra Carolina Bonzanini","(47) 3517-1335","","http://www.carolinadentista.com.br/","Av. Sete de Setembro, 200 - Sala 18 - Centro,Itajaí - SC,88301-200","https://www.instagram.com/dracarolinabonzanini","https://www.facebook.com/dracarolinabonzanini,https://www.facebook.com/dracarolinambonzanini","","","","","ChIJlZritAzM2JQRJBkx5KvVoWM","7179254215249828132","Clínica odontológica;Cirurgião dentista","48","5","-26.908172999999998","-48.658830099999996"
"Ortodoctor Itajaí - Centro","(47) 99654-7619","","","R. Arlécio de Souza Flôr, 70 - Centro,Itajaí - SC,88301-590","","","","","","","ChIJSU_BqCnN2JQRR9Vo3MlNWUc","5141225979001754951","Clínica odontológica","51","4.8","-26.912226999999998","-48.660585"
"Implaorto Itajaí","(47) 99795-5784","","","R. Antônio Manoel Moreira, 175 - Sala 4 - Fazenda,Itajaí - SC,88301-640","","","","","","","ChIJiYnGLTzL2JQRgyB1q645jKs","-6085425574120710013","Dentista","104","5","-26.920492799999998","-48.6522532"
"Oral Unic","(47) 3083-9090","atendimento@oralunicitajai.com.br","https://oralunic.com.br/itajai-sc","Av. Cel. Marcos Konder, 1027 - Centro,Itajaí - SC,88301-215","https://www.instagram.com/oralunicitajai","https://www.facebook.com/oralunicitajaisc","","","","https://www.youtube.com/channel/UC4B6TtRKHFVpx7Z7412Ge1Q","ChIJuc6NVnPM2JQRtVLmsJRBpAY","478579567286964917","Clínica odontológica;Dentista cosmético;Periodontia e implantes dentários;Dentista","230","4.5","-26.9100118","-48.6600179"
"OdontoCare Itajai Odontologia Especializada","(47) 98862-9631","","http://odontocareitajai.meudoutor.com/","R. Carlos Seara, 535 - Vila Operaria,Itajaí - SC,88303-200","","","","","","","ChIJLxkhKmXM2JQRVQCkpk5hDzc","3967496787167805525","Dentista;Cirurgião dentista","49","5","-26.910927899999997","-48.6708618"
"Odontoclinic - Itajaí","","","https://odontoclinic.com.br/unidade/itajai","R. Dr. José Bonifácio Malburg, 105 - Centro,Itajaí - SC,88301-350","https://www.instagram.com/odontoclinic","https://www.facebook.com/odontoclinicbr","","https://www.linkedin.com/company/franquias-odontoclinic","","","ChIJ2QY3fCLN2JQRqtfjDWb5its","-2627013215902246998","Dentista;Dentista cosmético;Clínica odontológica;Clínica de implante dentário;Cirurgião dentista;Ortodontista;Odontopediatra;Clínica de odontopediatria;Periodontista","84","4.8","-26.904158799999998","-48.657578699999995"
"Qualité Odontologia Integrada","(47) 99289-0404","","","R. Indaial, 1111 - Sala 01 - São Judas,Itajaí - SC,88303-303","","","","","","","ChIJEf6wbHHN2JQRn86QGsAiSbA","-5744021641259594081","Clínica odontológica;Clínica de implante dentário;Endodontista;Cirurgião dentista;Ortodontista;Periodontista","173","5","-26.911296099999998","-48.6775508"
"Vittale Odontologia Especializada | Urgências 24H","(47) 98879-8778","","https://vittaleitajai.meudoutor.com/","R. Manoel Viêira Garção, 10 - Sala 702 - Centro,Itajaí - SC,88301-425","","","","","","","ChIJBehYB4HN2JQR9ZIPOtwxUYE","-9128460147766619403","Dentista;Fornecedor de lentes de contato;Clínica odontológica;Clínica de implante dentário;Endodontista;Clínico geral;Ortodontista;Clínica especializada","60","5","-26.9041484","-48.6577522"
"Dra Sarah Pilati Estomatologista","(48) 98802-0284","","","R. Brusque, 553 - Centro,Itajaí - SC,88302-001","","","","","","","ChIJl6ZMYU_N2JQRbpbc_BAg3oM","-8944676552577345938","Dentista","18","5","-26.912322","-48.6663657"
"CEO - Centro de Especialidades Odontológicas de Itajaí","(47) 3247-9778","","http://www.itajai.sc.gov.br/","Av. Gov. Adolfo Konder, 250 - Cidade Nova,Itajaí - SC,88308-002","","","","","","","ChIJgaEtWY7M2JQR1Emh5Uk0Du0","-1365096145056871980","Clínica odontológica","40","4.1","-26.9113913","-48.687155999999995"
"EDENTAL Odontologia","(47) 3045-7472","","https://www.instagram.com/edental_odontologia/","Rua João Bauer, 180 - Centro,Itajaí - SC,88301-500","https://www.instagram.com/rsrc.php,https://www.instagram.com/edental_odontologia,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJd3XQPwTN2JQRQAecU6n8vS4","3368125900525406016","Cirurgião dentista","9","4.1","-26.909524599999997","-48.6618869"
"Dr. Charles Nabhan - Ortodontista & Protesista","(47) 99667-4412","","","Av. José Eugênio Müller, 1546 - Sala 4 - Vila Operaria,Itajaí - SC,88303-171","","","","","","","ChIJgd3tWXjM2JQRY5yI8DKcNO0","-1354285845333894045","Cirurgião dentista;Ortodontista;Clínica de Reabilitação","86","5","-26.9166754","-48.6712145"
"Primor Odontologia Especializada","(47) 99735-6597","","https://primorodonto.com.br/","Rua Dr. Cacildo Romagnani, 130 - Centro,Itajaí - SC,88303-023","https://www.instagram.com/primor.odontologia","https://www.facebook.com/primor.odontologia.especializada","","","","","ChIJPcbqPHLM2JQR5RVhNkzF4io","3090249225450100197","Dentista","65","4.9","-26.9070921","-48.6635031"
"Mappi Odontologia - Itajaí","(47) 3346-7602","","https://www.mappiodontologia.com.br/","R. Brusque, 676 - Centro,Itajaí - SC,88303-001","","","","","","","ChIJZ82GUwHN2JQRzJEIMas5kIY","-8750430668556037684","Clínica odontológica","55","5","-26.9131665","-48.6674752"
"Odonto Excellence","(47) 2122-5656","contato@odontoexcellence.com.br","https://www.odontoexcellence.com.br/","R. Agílio Cunha, 1340 - Cidade Nova,Itajaí - SC,88308-663","https://www.instagram.com/odontoexcellence.franchising","https://www.facebook.com/franquiaodontoexcellence","","","","","ChIJnSfaD0vN2JQRsr83Vmp88Lk","-5048398386127454286","Dentista","31","3.8","-26.926842399999998","-48.695926299999996"
"Clínica Moon Odontologia","(47) 98844-0079","","http://clinicamoon.com.br/","R. Brusque, 116 - Centro,Itajaí - SC,88303-000","","","","","","","ChIJsSdZkgHN2JQR2xJe8cIjXuk","-1630826694881439013","Dentista;Centro de saúde e beleza;Cirurgião dentista","7","5","-26.9088861","-48.6637493"
"Dra. Gabrielle Gomes Odontologia Especializada","(47) 99954-2867","dra.gabriellelopesgomes@gmail.com","https://dragabriellegomes.com.br/","R. José Lopes, 1175 - Cordeiros,Itajaí - SC,88310-651","https://www.instagram.com/dra.gabriellelopesgomes","https://www.facebook.com/dragabriellegomes.com.br","","","","","ChIJl-1NTm_N2JQRDEFEdvT01HY","8562738122331537676","Dentista","49","5","-26.898830999999998","-48.703770999999996"
"Dra Daniela Petrovcic - Odontologia Especializada","(47) 99178-5707","","","Rua João Bauer, 335 - Centro,Itajaí - SC,88301-500","","","","","","","ChIJ3fJk7fvN2JQRypasS2pBKvI","-996912442717202742","Clínica odontológica","13","5","-26.910475299999998","-48.660683899999995"
"Dom Sorriso Itajaí - Centro Odontológico","","","http://www.instagram.com/domsorrisoitajai","R. Estefano José Vanolli, 341 - São Vicente,Itajaí - SC,88309-201","https://www.instagram.com/rsrc.php,https://www.instagram.com/domsorrisoitajai,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJRwWvL2TN2JQRJXhDPMAlS5Q","-7761068025267914715","Clínica odontológica","35","4.1","-26.8971147","-48.6884934"
"Dra. Bruna Ramos e Dra. Gladis Spat","(47) 3021-6637","","","R. Uruguai, 223 - Sala 1613 - Centro,Itajaí - SC,88302-200","","","","","","","ChIJ_UDiWXPM2JQRz2XWI4Oem1M","6024583212617328079","Dentista;Dentista cosmético;Clínica odontológica;Cirurgião dentista;Clínica de odontopediatria","8","4.5","-26.911041299999997","-48.662782"
"REDEORTO Itajaí","(47) 3021-7810","","https://redeorto.com.br/unidades/clinica-odontologica-em-itajai","R. Manoel Viêira Garção, 54 - sala 202 , 2º andar - Centro,Itajaí - SC,88301-425","","","","","","","ChIJ1bG5WJLN2JQRhxtRkDY-y8I","-4410363006008878201","Clínica odontológica","29","4.9","-26.9043584","-48.6573838"
"Dra. Juliana Andrade Araújo","(47) 3514-0571","odonto.drajuliana@gmail.com","https://drajulianaaraujo.com.br/","Centro Comercial Liberty,Av. Cel. Marcos Konder, 1313 - sala 401 - Centro,Itajaí - SC,88301-303","","","","","","","ChIJZ3IkKf_N2JQR6Z9CBxhr4m4","7990066439853875177","Dentista","","","-26.9075684","-48.661799599999995"
"Dra Fabíola Scolari Schreiber","(47) 99739-8237","","","ed Embraed,Av. Cel. Marcos Konder, 1207 - sala 18 , 1 andar - Centro,Itajaí - SC,88301-902","","","","","","","ChIJa_t4Dg3M2JQR412P2uD6Q-8","-1205844431558713885","Dentista","100","5","-26.911547199999998","-48.6594012"
"Oral Brasil Implantes","(47) 99143-4668","","https://oralbrasilitajai.com.br/avaliacao-2/","Av. Sete de Setembro, 1024 - Fazenda,Itajaí - SC,88301-202","","","","","","","ChIJ7VvmCbrL2JQR7r8fXYq2yPY","-664080239653044242","Clínica odontológica;Clínica de implante dentário;Dentista;Cirurgião dentista","46","4.7","-26.915227299999998","-48.656002799999996"
"Clínica Dentária Popular","(47) 3045-3565","","http://www.facebook.com/clinicapopular","Av. Sete de Setembro, 100 - 1° Andar - Centro,Itajaí - SC,88301-200","","","","","","","ChIJdwXkMnPM2JQRCwSkAy9G3u0","-1306529674152377333","Clínica odontológica","20","3.8","-26.9076056","-48.6590426"
"Dent Kids Odontopediatria","(47) 3515-7336","","https://dentkids.com.br/","Av. Cel. Marcos Konder, 484 - Sala 1 - Centro,Itajaí - SC,88301-300","https://www.instagram.com/dentkidsfamily","","","","","","ChIJaxmk4AXN2JQREAdcv-HiKjw","4335527050503522064","Clínica de odontopediatria;Odontopediatra","46","5","-26.906323399999998","-48.6620689"
"Odonto Excellence Itajaí - Fazenda","(47) 3021-6252","","https://instagram.com/odontoitajaifazenda?igshid=MzRlODBiNWFlZA==","R. Florianópolis, 251 - Sala 03 - Fazenda,Itajaí - SC,88301-670","https://www.instagram.com/rsrc.php,https://www.instagram.com/odontoitajaifazenda,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJk0Umg3zL2JQRDPWQ2b-AcLk","-5084422417824025332","Clínica odontológica","30","3.4","-26.924003199999998","-48.6503847"
"Dr Fábio Maestri - Facetas de Resina Premium, Lentes de Porcelana e Ortodontia em Itajaí","(47) 99181-2675","","http://www.clinicamaestri.com.br/","R. Gaspar, 236 - sala 1 - São Judas,Itajaí - SC,88303-320","https://www.instagram.com/dr.fabiomaestri,https://www.instagram.com/maestriodontologia","https://www.facebook.com/maestriodontologia","","","","","ChIJGx67dvHT2JQR5SZxzEvvNsI","-4452108072777603355","Dentista","45","5","-26.9096788","-48.6762363"
"Zanchett Odontologia","(47) 98922-3314","","","R. Dr. Pedro Ferreira, 155 - sala 1509 - Centro,Itajaí - SC,88301-030","","","","","","","ChIJOXLq3_PN2JQRBNaoSuprJDg","4045477019304646148","Dentista","33","5","-26.903912","-48.6572268"
"Dra Thais Rother | Ortodontista","(47) 99250-3737","","","Rua João Bauer, 498 - Sala 505 - Centro,Itajaí - SC,88301-401","","","","","","","ChIJydh2gDa32JQR47m81n-ZpI4","-8168235049800648221","Dentista","45","5","-26.9117958","-48.6601089"
"Dra. Amanda Teotônio - Itajaí","(47) 99681-2636","","","R. Franklin Máximo Pereira, 119 - Centro,Itajaí - SC,88301-230","","","","","","","ChIJv4BsstfN2JQR09GzI5n7UiY","2761546156679090643","Clínica odontológica;Clínica de implante dentário","1","5","-26.911751499999998","-48.6638975"
"Dr. Lucas Bernhardt da Cruz & Dra. Vivian R. Castro da Cruz - ODONTOITAJAI","(47) 3045-1060","","","R. Dr. Nereu Ramos, 197 - sala 1301 - Centro,Itajaí - SC,88301-215","","","","","","","ChIJLdQAiW3M2JQR2nhH19GtMWU","7291800388461099226","Dentista;Cirurgião dentista","48","5","-26.909824399999998","-48.660178699999996"
"Dra. Julia Kammer | Arte na Odontologia","(47) 99737-1660","","https://www.instagram.com/juliakammer_?igsh=MThvMmUwaGF6MDJocQ==&utm_source=qr","Riviera Business & Mall,Av. Osvaldo Reis, 3281 - sala 1504 - Praia Brava,Itajaí - SC,88306-773","https://www.instagram.com/rsrc.php,https://www.instagram.com/juliakammer_,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJed7dlxXL2JQRcq5Tz3_uzPw","-230547248196112782","Dentista","5","5","-26.9523187","-48.6397494"
"Clinics Odontologia","(47) 99618-8000","","https://wa.me/5547996188000","Rua: Otto Hoier, 45 - Cidade Nova,Itajaí - SC,88308-100","https://www.instagram.com/whatsapp","https://www.facebook.com/brand,https://www.facebook.com/business","https://twitter.com/whatsapp","","","https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw","ChIJe7jhj5fN2JQRm80ipWfou1I","5961614063604780443","Clínica odontológica","27","5","-26.911070499999997","-48.6854182"
"FZ ODONTOLOGIA - Dr Felipe Zanella","(47) 98832-3541","contato@fzodontologia.com.br","https://fzodontologia.com.br/","R. Dr. Pedro Ferreira, 155 - sala 1611 - Centro,Itajaí - SC,88880-000","https://www.instagram.com/fzodontologia","https://www.facebook.com/FZodontologia","","","","","ChIJ98gi1xrN2JQRAEdC1jhutj4","4518920466504763136","Dentista;Clínica odontológica","38","5","-26.9038729","-48.657185"
"Dra. Karina Cestari - Ortodontia","(47) 99605-9667","","","R. Dr. Nereu Ramos, 197 - sala 1202 - Centro,Itajaí - SC,88301-215","","","","","","","ChIJ2dN0VHPM2JQRr8afhEv70Rw","2076717204960691887","Dentista","36","5","-26.9097866","-48.6600767"
"ATM Dentistas","(47) 3248-1972","clinicaodontologica.recepcao@gmail.com","http://www.atmdentistas.com.br/","R. Hercílio Luz, 596 - sala 102 - Centro,Itajaí - SC,88301-001","","","","","","","ChIJ4d9JwnLM2JQR2pkxtlQ_UOU","-1922967407820695078","Dentista;Cirurgião dentista","199","4.7","-26.9064315","-48.660562299999995"
"OrthoDontic Itajaí SC | Aparelho Ortodôntico, Dentista, Clareamento Dental, Alinhador Invisível, Tratamento de Canal","(47) 99932-1315","itajai@orthodonticbrasil.com.br","https://www.orthodonticbrasil.com.br/clinicas/itajai-40/","R. Heitor Liberato, 1041 - Sala 01 - Centro,Itajaí - SC,88303-101","https://www.instagram.com/orthodontic.br","https://www.facebook.com/orthodontic.br","","https://www.linkedin.com/company/orthodontic-brasil","","https://www.youtube.com/channel/UCvhefQokbY-tulo7JHULnJQ","ChIJ94zngm_M2JQRD7uOrWRGmp8","-6946162077043082481","Clínica odontológica;Periodontia e implantes dentários;Dentista;Endodontista;Ortodontista;Clínica especializada","300","4.5","-26.9054883","-48.668422899999996"
"Dr. Franklin Valentin","(47) 99230-1575","","","R. Estefano José Vanolli, 1200 - sala 2 - São Vicente,Itajaí - SC,88309-201","","","","","","","ChIJe7JI4mnN2JQRNoC6LKe5xlM","6036716478197825590","Dentista","26","5","-26.9048439","-48.6889586"
"Dra Bruna Zardo","(47) 98423-5153","","https://www.facebook.com/drabrunazardo/","R. Uruguai, 223 - Centro,Itajaí - SC,88302-201","","https://www.facebook.com/drabrunazardo","","","","","ChIJffbyGCSTuWMRziemxWRWh8Q","-4285361529607018546","Dentista","11","5","-26.911041299999997","-48.662782"
"Laudares Odontologia Itajaí","(47) 3045-3510","","","Edifício Liberty,Av. Cel. Marcos Konder, 1313 - Sala 704 - Centro,Itajaí - SC,88301-904","","","","","","","ChIJAxNw2N7N2JQRD1uWrVDAkfs","-319262645824365809","Dentista;Periodontia e implantes dentários;Clínica de implante dentário;Cirurgião dentista;Ortodontista","23","4.8","-26.9126531","-48.6588755"
"Odonto Excellence","(47) 3398-2793","contato@odontoexcellence.com.br","https://www.odontoexcellence.com.br/","Rua Bernardo Petter, 437 - São João,Itajaí - SC,88304-140","https://www.instagram.com/odontoexcellence.franchising","https://www.facebook.com/franquiaodontoexcellence","","","","","ChIJU0DitWHM2JQRxuC2RJuiHcU","-4243056486156672826","Dentista;Clínica odontológica;Periodontia e implantes dentários;Cirurgião dentista;Periodontista","172","4.5","-26.9041906","-48.6775775"
"OdontoMais Implantes","(47) 2033-6118","","https://www.facebook.com/odontomaisimplantes","R. Felipe Schmidt, 400 - Centro,Itajaí - SC,88301-041","","https://www.facebook.com/odontomaisimplantes","","","","","ChIJ3UxMV0vN2JQR3yY_RQfz-8A","-4540768586720925985","Clínica de implante dentário;Clínica odontológica;Periodontia e implantes dentários;Dentista;Cirurgião oral e maxilofacial;Cirurgião dentista;Ortodontista;Periodontista","123","4.7","-26.9044785","-48.658045099999995"
"Espaço Orto | Clínica Odontológica em Itajaí","(47) 3344-4805","","https://www.espacoorto.com.br/","R. Estefano José Vanolli, 600 - São Vicente,Itajaí - SC,88309-201","","","","","","","ChIJcfWwu4vN2JQR_6Mj-g-AW6k","-6243255652309556225","Clínica odontológica","33","4.7","-26.8993386","-48.6888869"
"Sorrivita Odontologia - Clinica odontológica","(47) 98858-0260","","https://www.instagram.com/sorrivita.odontologia?igsh=bWNna3V2ZHMzdDRh&utm_source=qr","R. José Pereira Liberato, 987 - sala 04 - São João,Itajaí - SC,88304-400","https://www.instagram.com/rsrc.php,https://www.instagram.com/sorrivita.odontologia,https://www.instagram.com/_u,https://www.instagram.com/rsrc","","","","","","ChIJiy-sH6vN2JQRN7qCht-Dwpw","-7151008262253266377","Clínica odontológica;Limpeza;Clínica de implante dentário;Dentista;Endodontista;Cirurgião oral e maxilofacial;Cirurgião dentista;Periodontista","26","5","-26.900486599999997","-48.6821572"
"Odontologia Integrada São Vicente","(47) 99601-7895","","","R. São Joaquim, 193 - São Vicente,Itajaí - SC,88309-000","","","","","","","ChIJrYTcwwDN2JQR27eLHePt8cI","-4399473801255208997","Clínica odontológica","3","5","-26.8977617","-48.6867812"
"COE Centro de Odontologia Especializada","(47) 98458-0642","contato@coeitajai.com.br","http://www.coeitajai.com.br/","Av. Min. Victor Konder, 550 - Centro,Itajaí - SC,88301-701","https://www.instagram.com/coeodontologia.itajai","https://www.facebook.com/coeodontologia.itajai","","","","","ChIJv_YuGwrM2JQRKm4bVRoDQxc","1676186897943850538","Dentista","5","4.2","-26.9127542","-48.6536587"
"Sorridents","(47) 3021-7569","faleconosco@sorridents.com.br","https://sorridents.com.br/itajai/","R. Felipe Schmidt, 370 - Andar Térreo - Centro,Itajaí - SC,88301-041","https://www.instagram.com/sorridents_clinicas","https://www.facebook.com/sorridents","","","","https://www.youtube.com/user/SorridentsClinicas","ChIJrd_anHrN2JQRy1udIk7Ewug","-1674560271561172021","Clínica odontológica;Dentista cosmético;Clínica de implante dentário;Dentista;Cirurgião dentista;Ortodontista;Odontopediatra;Clínica de odontopediatria;Periodontista","52","4.5","-26.904789299999997","-48.6579353"
"Clínica L'amitié Odontologia Especializada","(47) 3083-7881","clinicalamitie@hotmail.com","https://clinicalamitie.com/","R. Expedicionário Olímpio José Borges, 23 - São Vicente,Itajaí - SC,88309-290","https://www.instagram.com/clinicalamitie","https://www.facebook.com/clinicalamitie","","","","","ChIJqZJxAPvN2JQRf28LNzzhwYE","-9096742123573907585","Clínica odontológica","37","4.4","-26.903419","-48.6890414"
"TH CENTRO ODONTOLÓGICO","(47) 3075-0611","","https://www.facebook.com/thcentroodontologico/?pnr","Av. Cel. Marcos Konder, 1207 - sala 160 - Centro,Itajaí - SC,88301-902","","https://www.facebook.com/thcentroodontologico","","","","","ChIJ4QAc0XTM2JQRNvJO-_G074U","-8795612595834916298","Dentista","7","3.9","-26.9114537","-48.6593917"
"Dr. Gabriel De Nardi - Cirurgião Dentista","(47) 99111-7943","","","R. Estefano José Vanolli, 1200 - São Vicente,Itajaí - SC,88309-202","","","","","","","ChIJpy10043N2JQRpSqb5rcj7po","-7282844274656597339","Dentista","13","4.9","-26.904844299999997","-48.688897499999996"
"Consultorio Odontológico Dra Bianca Prazeres","(47) 3344-2245","","","Av. Cel. Marcos Konder, 1313 - Centro,Itajaí - SC,88301-303","","","","","","","ChIJI2MjLHXM2JQRwBwN-6UE3bI","-5558281254177268544","Dentista","13","4.9","-26.912761099999997","-48.6589904"
"Palmezan Odontologia","(47) 3046-3197","","","R. Indaial, 1111 - São Judas,Itajaí - SC,88303-303","","","","","","","ChIJPRkQg63N2JQRK9Ib66hPyo0","-8229677782148591061","Dentista","4","5","-26.911375999999997","-48.677523699999995"
"Inttegra Odontologia Especializada","(47) 99677-5889","","","R. São Paulo, 302 - São Judas,Itajaí - SC,88303-330","","","","","","","ChIJAwW-ZJTN2JQRnxWwZ-Gbtfo","-381227201033398881","Clínica odontológica;Cirurgião dentista","52","4.5","-26.911103999999998","-48.6772555"
"Odontologia Integrada Cordeiros","(47) 99651-2122","","","R. Sebastião Romeu Soares, 449 - Cordeiros,Itajaí - SC,88311-141","","","","","","","ChIJVz3Ns-jN2JQRqktGYx8iMoE","-9137203175776433238","Clínica odontológica","72","4.9","-26.8835482","-48.6999451"
"Consultório Dra Leonilda Terezinha Jaboinski","(47) 3348-2871","","","R. Lauro Muller, 968 - Centro,Itajaí - SC,88301-401","","","","","","","ChIJhTuIe3PM2JQRfvvzy5qLIu4","-1287313046511551618","Dentista","1","5","-26.913733099999998","-48.654238"
